publication_id,budget_code,publisher,regulation,supplier,supplier_id,start_date,end_date,claim_date,last_update_date,contact,contact_email,description,volume,reason,decision,url,subjects,source_currency,page_title,entity_id,entity_kind
578588,,המשרד לביטחון פנים - משטרת ישראל,חברה ממשלתית עם עובדים זכאים לגימלה או לתגמול בשל נכות,חב המשקם לתעסוקת קשישים ובעלי כושר,510355720,2016-03-09,2019-03-01,,2016-03-27,,,מתן שירותי גינון באזור הדרום,1350000,כמפורט,נרשם,http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=578588,"[u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05d2\u05d9\u05e0\u05d5\u05df', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05d2\u05d9\u05e0\u05d5\u05df']",שקל,דיווח פטור משרדי,510355720,company
578594,,המשרד לביטחון פנים - משטרת ישראל,התקשרות עם ספק יחיד,"עמוס גזית בע""מ",510469893,2016-03-27,2016-12-31,2016-04-13,2016-03-27,אורנה בן גרשון,ornabg05@gmail.com,ינשוף 9510 IL DRAGER,,,טרום החלטת ועדה,http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=578594,"[u'\u05e6\u05d9\u05d5\u05d3 \u05de\u05e2\u05d1\u05d3\u05d4, \u05de\u05d3\u05d9\u05d3\u05d4 \u05d5\u05d0\u05d1\u05d9\u05d6\u05e8\u05d9\u05dd \u05e0\u05dc\u05d5\u05d5\u05d9\u05dd', u'\u05e6\u05d9\u05d5\u05d3 \u05de\u05e2\u05d1\u05d3\u05d4, \u05de\u05d3\u05d9\u05d3\u05d4 \u05d5\u05d0\u05d1\u05d9\u05d6\u05e8\u05d9\u05dd \u05e0\u05dc\u05d5\u05d5\u05d9\u05dd']",שקל,פרסום כוונה להתקשרות עם ספק יחיד טרום החלטת וועדה,510469893,company
578605,,המשרד לביטחון פנים - משטרת ישראל,התקשרות עם ספק יחיד,"מ.ר.ד אפרם השקעות בע""מ",512077637,2016-02-01,2016-12-31,,2016-03-27,,,"ח""ח מחסניות ואקדחי גלוק",400000,כמפורט,נרשם,http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=578605,"[u'\u05e0\u05e9\u05e7 \u05e7\u05dc \u05d5\u05ea\u05d7\u05de\u05d5\u05e9\u05ea', u'\u05e0\u05e9\u05e7 \u05e7\u05dc \u05d5\u05ea\u05d7\u05de\u05d5\u05e9\u05ea']",שקל,דיווח פטור משרדי,512077637,company
578647,,המשרד לביטחון פנים - נציבות כבאות והצלה,התקשרות עם ספק יחיד,"רתוך טכנולוגיות בטיחות בע""מ",512514886,2016-03-28,2016-12-31,2016-04-14,2016-03-28,שאול אור,shaulo@102.gov.il,ביצוע השתלמויות בנושא תחזוקת מערכות נשימה,,,טרום החלטת ועדה,http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=578647,"[u'\u05d4\u05d2\u05e0\u05d4 \u05de\u05e4\u05e0\u05d9 \u05d0\u05e9', u'\u05e6\u05d9\u05d5\u05d3 \u05d1\u05d8\u05d9\u05d7\u05d5\u05ea \u05d5\u05de\u05d9\u05d2\u05d5\u05df', u'\u05d4\u05d2\u05e0\u05d4 \u05de\u05e4\u05e0\u05d9 \u05d0\u05e9', u'\u05e6\u05d9\u05d5\u05d3 \u05d1\u05d8\u05d9\u05d7\u05d5\u05ea \u05d5\u05de\u05d9\u05d2\u05d5\u05df']",שקל,פרסום כוונה להתקשרות עם ספק יחיד טרום החלטת וועדה,512514886,company
579147,,המשרד להגנת הסביבה,התקשרות עם ספק יחיד,"חברת דואר ישראל בע""מ-ביול",513467191,2016-04-05,2017-03-31,,2016-04-07,,,שליחת דברי דואר לגורמים שונים ולעוסקים מחוץ למשרד,480000,"בהתאם לתקנה 3(29) לתח""מ. היקף דברי הדואר של המשרד להגנת הסביבה איננו עומד בתנאי הגדרת דואר כמותי לפי דואר ישראל.",נרשם,http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=579147,"[u'\u05e6\u05d9\u05d5\u05d3 \u05de\u05e9\u05e8\u05d3\u05d9', u'\u05de\u05db\u05d5\u05e0\u05d5\u05ea \u05de\u05e9\u05e8\u05d3\u05d9\u05d5\u05ea \u05d5\u05d0\u05d1\u05d9\u05d6\u05e8\u05d9\u05d4\u05dd']",שקל,דיווח פטור משרדי,513467191,company
573887,,המשרד להגנת הסביבה,"ריכוז התקשרויות , מכרז מרכזי שערך החשכ""ל עבור משרדי ממשלה",ספקים מרובים,,2015-12-20,2016-04-30,,2016-03-27,,,התקשרות לצורך רכישת טאבלטי אנדרואיד,400000,"המכשירים המבוקשים דרושים עבור אפליקצייה הישימה רק בסביבת אנדרואיד, המתחברת למערכת השו""ב (אפליקציית מדף), וכן עבור יישומים בסביבת אנראויד המפותחים עבור כונני השטח היוצאים לאירועי סביבה, ושאר אנשי השטח ","אושר ע""י ועדת הפטור המרכזית",http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=573887,"[u'\u05de\u05db\u05e9\u05d9\u05e8\u05d9 \u05ea\u05e7\u05e9\u05d5\u05e8\u05ea \u05d5\u05d0\u05d1\u05d9\u05d6\u05e8\u05d9\u05dd', u'\u05de\u05d7\u05e9\u05d1\u05d9\u05dd', u'\u05de\u05db\u05e9\u05d9\u05e8\u05d9 \u05ea\u05e7\u05e9\u05d5\u05e8\u05ea \u05d5\u05d0\u05d1\u05d9\u05d6\u05e8\u05d9\u05dd', u'\u05de\u05d7\u05e9\u05d1\u05d9\u05dd']",שקל,בקשה לפטור ממכרז,,
574902,,המשרד להגנת הסביבה,התקשרות לביצוע מיזם משותף ללא כוונת רווח,מועצה מקומית תעשייתית רמת חובב,500217708,2016-01-01,2020-12-31,,2016-03-27,,,"בקשה למיזם משותף בהתאם לתקנה 3(30) לתח""מ עם מועצה מקומית תעשייתית נאות חובב עבור הטמעת תכנים סביבתיים במרכז הסברה אזורי לטיפול בפסולת ואורח חיים מקיים.",12567000,"מדובר במיזם שיפעל ללא כוונת רווח במטרה להטמיע את חשיבות עקרונות ה.ש.מ.ה (הפחתה/ הפרדה במקור, שימוש חוזר, מחזור, השבה) וקידום אורח חיים מקיים. המסלול הסביבתי יהיה לחלק ממרחב ""קשרים"" וישלב מספר מוקדי הת","אושר ע""י ועדת הפטור המרכזית",http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=574902,"[u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05d0\u05d9\u05db\u05d5\u05ea \u05e1\u05d1\u05d9\u05d1\u05d4', u'\u05e9\u05e8\u05d5\u05ea\u05d9 \u05d7\u05d9\u05e0\u05d5\u05da \u05de\u05d9\u05d5\u05d7\u05d3\u05d9\u05dd', u'\u05e0\u05d9\u05d4\u05d5\u05dc \u05e1\u05d1\u05d9\u05d1\u05ea\u05d9', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05d0\u05d9\u05db\u05d5\u05ea \u05e1\u05d1\u05d9\u05d1\u05d4', u'\u05e9\u05e8\u05d5\u05ea\u05d9 \u05d7\u05d9\u05e0\u05d5\u05da \u05de\u05d9\u05d5\u05d7\u05d3\u05d9\u05dd', u'\u05e0\u05d9\u05d4\u05d5\u05dc \u05e1\u05d1\u05d9\u05d1\u05ea\u05d9']",שקל,בקשה לפטור ממכרז,500217708,municipality
578557,,המשרד להגנת הסביבה,התקשרות עם ספק יחיד,"טבת בריאות וגהות תעסוקתית בע""מ",511610685,2016-04-17,2023-04-16,2016-04-14,2016-03-27,מיכל לוי,michall@sviva.gov.il,התקשרות עם חברת טבת כספק יחיד עבור תחזוקה של מכשירי קרינה בלתי מייננת,,,טרום החלטת ועדה,http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=578557,"[u'\u05e0\u05d9\u05d4\u05d5\u05dc \u05e1\u05d1\u05d9\u05d1\u05ea\u05d9', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05d0\u05d9\u05db\u05d5\u05ea \u05e1\u05d1\u05d9\u05d1\u05d4', u'\u05e0\u05d9\u05d4\u05d5\u05dc \u05e1\u05d1\u05d9\u05d1\u05ea\u05d9', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05d0\u05d9\u05db\u05d5\u05ea \u05e1\u05d1\u05d9\u05d1\u05d4']",שקל,פרסום כוונה להתקשרות עם ספק יחיד טרום החלטת וועדה,511610685,company
574352,,המשרד לירושלים והתפוצות,התקשרות המשך באישור ועדת פטור מרכזית בנסיבות מיוחדות,ההסתדרות הציונית העולמית,500500350,2015-12-27,2017-06-30,,2016-04-05,,,"הרחבת התקשרות עם ההסתדרות הציונית העולמית בהיקף של 1 מיליון ש""ח  לתקופה של 18 חודשים מיום חתימה על ההסכם+ אופציה לשנה נוספת.",1000000,בהמשך להחלטת ממשלה מס' 1412 ואישור וועדת מכרזים מיום 8.8.2011 וועדת הפטור. ובהסתמך על התקשרות קיימת מיום 24.12.2013.,"אושר ע""י החשכ""ל",http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=574352,"[u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9\u05dd \u05dc\u05de\u05d2\u05d6\u05e8 \u05d4\u05e6\u05d1\u05d5\u05e8\u05d9', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9\u05dd \u05e6\u05d1\u05d5\u05e8\u05d9\u05d9\u05dd (\u05d7\u05e9\u05de\u05dc,\u05d2\u05d6,\u05de\u05d9\u05dd)', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05ea\u05e7\u05e9\u05d5\u05e8\u05ea', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9\u05dd \u05dc\u05de\u05d2\u05d6\u05e8 \u05d4\u05e6\u05d1\u05d5\u05e8\u05d9', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9\u05dd \u05e6\u05d1\u05d5\u05e8\u05d9\u05d9\u05dd (\u05d7\u05e9\u05de\u05dc,\u05d2\u05d6,\u05de\u05d9\u05dd)', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05ea\u05e7\u05e9\u05d5\u05e8\u05ea']",שקל,בקשה לפטור ממכרז,500500350,law_mandated_organization
579269,,המשרד לפיתוח הנגב והגליל,"התקשרות ששוויה אינה עולה על 50,000 ש""ח",שירותי יעוץ תקשורתי,,2016-05-01,2016-06-30,2016-04-28,2016-04-10,הילה שדה קטן,hilasa@pmo.gov.il,"רכישת שירותי יח""צ בדרך של הצעות מחיר עבור התקשרות שלא תעלה על 50,000 ¤ עבור אירועי שיא שנערכים בגליל ואותם המשרד מבקש לקדם: פסטיבל ""בשביל היין"" וירידי התעסוקה  בחודשים מאי- יוני שנת 2016.",,,טרום החלטת ועדה,http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=579269,[u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05ea\u05e7\u05e9\u05d5\u05e8\u05ea'],שקל,פרסום כוונה להתקשרות עם ספק יחיד טרום החלטת וועדה,,
578860,,המשרד לקליטת העליה,התקשרות עם ספק יחיד,עמותת שבי ישראל,,2016-05-01,2017-02-28,2016-04-19,2016-03-31,מיטל יצחקי,meital@moia.gov.il,התקשרות עם עמותת שבי ישראל לטיפול בקהילת בני המנשה בהודו להוציא לפועל את החלטת הממשלה לעניין הבאתם לישראל והטיפול עד לסיום הליך הגיור.,,,טרום החלטת ועדה,http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=578860,"[u' \u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05d7\u05d9\u05e0\u05d5\u05da \u05d5\u05d4\u05db\u05e9\u05e8\u05d4', u'\u05e9\u05e8\u05d5\u05ea\u05d9 \u05d7\u05d9\u05e0\u05d5\u05da \u05de\u05d9\u05d5\u05d7\u05d3\u05d9\u05dd', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9  \u05e7\u05d4\u05d9\u05dc\u05d4', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05d4\u05ea\u05d5\u05d5\u05d9\u05d9\u05ea \u05de\u05d3\u05d9\u05e0\u05d9\u05d5\u05ea \u05d5\u05d8\u05d9\u05e4\u05d5\u05dc \u05d1\u05d0\u05d6\u05e8\u05d7\u05d9\u05dd', u'\u05d9\u05d7\u05e1\u05d9\u05dd \u05d1\u05d9\u05e0\u05dc\u05d0\u05d5\u05de\u05d9\u05d9\u05dd', u'\u05db\u05d9\u05ea\u05d5\u05ea \u05d4\u05d3\u05e8\u05db\u05d4', u' \u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05d7\u05d9\u05e0\u05d5\u05da \u05d5\u05d4\u05db\u05e9\u05e8\u05d4', u'\u05e9\u05e8\u05d5\u05ea\u05d9 \u05d7\u05d9\u05e0\u05d5\u05da \u05de\u05d9\u05d5\u05d7\u05d3\u05d9\u05dd', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9  \u05e7\u05d4\u05d9\u05dc\u05d4', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05d4\u05ea\u05d5\u05d5\u05d9\u05d9\u05ea \u05de\u05d3\u05d9\u05e0\u05d9\u05d5\u05ea \u05d5\u05d8\u05d9\u05e4\u05d5\u05dc \u05d1\u05d0\u05d6\u05e8\u05d7\u05d9\u05dd', u'\u05d9\u05d7\u05e1\u05d9\u05dd \u05d1\u05d9\u05e0\u05dc\u05d0\u05d5\u05de\u05d9\u05d9\u05dd', u'\u05db\u05d9\u05ea\u05d5\u05ea \u05d4\u05d3\u05e8\u05db\u05d4']",שקל,פרסום כוונה להתקשרות עם ספק יחיד טרום החלטת וועדה,,
576799,,משרד התיירות,התקשרות עם ספק חוץ,Pomegrante Travel,,2015-12-15,2016-11-14,,2016-02-15,,,התקשרות עם חברת Pomegrante Travel (אנגליה) במסגרת הסכם שיווק,21420,3(31)(א),נרשם,http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=576799,[u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05e1\u05d5\u05db\u05e0\u05d9 \u05e0\u05e1\u05d9\u05e2\u05d5\u05ea'],לירה סטרלינג,דיווח פטור משרדי,,
573209,,המשרד לקליטת העליה,"ריכוז התקשרויות , מכרז מרכזי שערך החשכ""ל עבור משרדי ממשלה",אינוויז'ן,,2016-03-27,2016-12-31,,2016-03-27,,,"בקשה לפטור משימוש במכרז מרכזי מ. 16.9.2 רכישת שירותי ארגון וביצוע ימי עיון, פעילויות הדרכה, כנסים ואירועים להפקת אירועים בתחום פעילותו של משרד העלייה והקליטה ושאינם מיועדים לעובדי המשרד.",3755000,מצורף פרוטוקול ועדת המכרזים. בהתאם לתקנה 14ב(א),"אושר ע""י ועדת הפטור המרכזית",http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=573209,"[u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05e1\u05d5\u05db\u05e0\u05d9 \u05e0\u05e1\u05d9\u05e2\u05d5\u05ea', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05de\u05dc\u05d5\u05df \u05d5\u05db\u05e0\u05e1\u05d9\u05dd', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05e8\u05d5\u05d5\u05d7\u05d4, \u05e0\u05e1\u05d9\u05e2\u05d5\u05ea', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05d4\u05e4\u05e7\u05ea \u05d0\u05d9\u05e8\u05d5\u05e2\u05d9\u05dd', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05e1\u05d5\u05db\u05e0\u05d9 \u05e0\u05e1\u05d9\u05e2\u05d5\u05ea', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05de\u05dc\u05d5\u05df \u05d5\u05db\u05e0\u05e1\u05d9\u05dd', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05e8\u05d5\u05d5\u05d7\u05d4, \u05e0\u05e1\u05d9\u05e2\u05d5\u05ea', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05d4\u05e4\u05e7\u05ea \u05d0\u05d9\u05e8\u05d5\u05e2\u05d9\u05dd']",שקל,בקשה לפטור ממכרז,,
579134,,המשרד לשירותי דת,התקשרות לביצוע מיזם משותף ללא כוונת רווח,עמותת אור תורה סטון,,2016-04-06,2019-04-06,2016-04-26,2016-04-06,אלעד טובי,elad@dat.gov.il,"מיזם משותף עם עמותת ""אור תורה סטון"" לצורך פרויקט הקמת רשת רכזי זהות יהדות בקהילות",,,טרום החלטת ועדה,http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=579134,"[u'\u05e9\u05e8\u05d5\u05ea\u05d9 \u05d7\u05d9\u05e0\u05d5\u05da \u05de\u05d9\u05d5\u05d7\u05d3\u05d9\u05dd', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05d9\u05e2\u05d5\u05e5 \u05dc\u05e0\u05d9\u05d4\u05d5\u05dc']",שקל,פרסום מיזם ללא כוונת רווח טרום החלטת ועדה,580000768,association
578958,,הרשות לשירותים ציבוריים - חשמל,התקשרות עם ספק יחיד,"ימית א. בטחון (1998) בע""מ",512618679,2016-06-01,2016-12-31,2016-04-21,2016-04-04,טליה אילוז,talya@PUA.GOV.IL,"הרשות לחשמל מעוניינת להתקשר עם חברת ימית א.בטחון (1998) בע""מ עבור מתן שירותי חנייה לעובדי 
הרשות בחניון הסובלנות המנוהל ע""י החברה ברחוב הלל 37 בירושלים והסמוך ביותר למשרדי הרשות ברחוב הסורג 1 בירושלים  
 
",,,טרום החלטת ועדה,http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=578958,"[u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05d7\u05e0\u05d9\u05d4', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05d7\u05e0\u05d9\u05d4']",שקל,פרסום כוונה להתקשרות עם ספק יחיד טרום החלטת וועדה,512618679,company
